"","year","date","location","result","team","conf","opp","opp_conf","tpm","tpa","tp_pct","round"
"162",2023,2023-03-23,"N","L","UCLA","P12","Gonzaga","P12",7,18,0.388888888888889,"3. SWEET SIXTEEN"
"163",2023,2023-03-23,"N","L","Michigan St.","B10","Kansas St.","B10",13,25,0.52,"3. SWEET SIXTEEN"
"164",2023,2023-03-23,"N","W","Kansas St.","B12","Michigan St.","B12",11,24,0.458333333333333,"3. SWEET SIXTEEN"
"165",2023,2023-03-19,"N","L","Pittsburgh","ACC","Xavier","ACC",6,20,0.3,"2. ROUND OF 32"
"166",2023,2023-03-19,"N","W","Xavier","BE","Pittsburgh","BE",8,24,0.333333333333333,"2. ROUND OF 32"
"167",2023,2023-03-19,"N","L","Kentucky","SEC","Kansas St.","SEC",4,20,0.2,"2. ROUND OF 32"
"168",2023,2023-03-19,"N","W","Kansas St.","B12","Kentucky","B12",5,21,0.238095238095238,"2. ROUND OF 32"
"169",2023,2023-03-19,"N","W","Michigan St.","B10","Marquette","B10",2,16,0.125,"2. ROUND OF 32"
"170",2023,2023-03-19,"N","L","Marquette","BE","Michigan St.","BE",11,27,0.407407407407407,"2. ROUND OF 32"
"171",2023,2023-03-19,"N","L","Saint Mary's","WCC","Connecticut","WCC",4,14,0.285714285714286,"2. ROUND OF 32"
"172",2023,2023-03-19,"N","W","Connecticut","BE","Saint Mary's","BE",10,22,0.454545454545455,"2. ROUND OF 32"
"173",2023,2023-03-19,"N","W","Creighton","BE","Baylor","BE",11,24,0.458333333333333,"2. ROUND OF 32"
"174",2023,2023-03-19,"N","L","Baylor","B12","Creighton","B12",5,22,0.227272727272727,"2. ROUND OF 32"
"175",2023,2023-03-19,"N","L","Fairleigh Dickinson","NEC","Florida Atlantic","NEC",9,31,0.290322580645161,"2. ROUND OF 32"
"176",2023,2023-03-19,"N","W","Florida Atlantic","CUSA","Fairleigh Dickinson","CUSA",9,31,0.290322580645161,"2. ROUND OF 32"
"177",2023,2023-03-19,"N","W","Miami FL","ACC","Indiana","ACC",9,23,0.391304347826087,"2. ROUND OF 32"
"178",2023,2023-03-19,"N","L","Indiana","B10","Miami FL","B10",8,25,0.32,"2. ROUND OF 32"
"179",2023,2023-03-19,"N","L","TCU","B12","Gonzaga","B12",9,25,0.36,"2. ROUND OF 32"
"180",2023,2023-03-19,"N","W","Gonzaga","WCC","TCU","WCC",8,25,0.32,"2. ROUND OF 32"
"181",2023,2023-03-18,"N","L","Furman","SC","San Diego St.","SC",6,26,0.230769230769231,"2. ROUND OF 32"
"182",2023,2023-03-18,"N","W","San Diego St.","MWC","Furman","MWC",6,20,0.3,"2. ROUND OF 32"
"183",2023,2023-03-18,"N","L","Duke","ACC","Tennessee","ACC",6,22,0.272727272727273,"2. ROUND OF 32"
"184",2023,2023-03-18,"N","W","Tennessee","SEC","Duke","SEC",9,21,0.428571428571429,"2. ROUND OF 32"
"185",2023,2023-03-18,"N","W","Arkansas","SEC","Kansas","SEC",3,15,0.2,"2. ROUND OF 32"
"186",2023,2023-03-18,"N","L","Kansas","B12","Arkansas","B12",5,13,0.384615384615385,"2. ROUND OF 32"
"187",2023,2023-03-18,"N","W","Princeton","Ivy","Missouri","Ivy",12,33,0.363636363636364,"2. ROUND OF 32"
"188",2023,2023-03-18,"N","L","Missouri","SEC","Princeton","SEC",6,22,0.272727272727273,"2. ROUND OF 32"
"189",2023,2023-03-18,"N","L","Auburn","SEC","Houston","SEC",5,16,0.3125,"2. ROUND OF 32"
"190",2023,2023-03-18,"N","W","Houston","Amer","Auburn","Amer",7,22,0.318181818181818,"2. ROUND OF 32"
"191",2023,2023-03-18,"N","L","Penn St.","B10","Texas","B10",8,28,0.285714285714286,"2. ROUND OF 32"
"192",2023,2023-03-18,"N","W","Texas","B12","Penn St.","B12",1,13,0.0769230769230769,"2. ROUND OF 32"
"193",2023,2023-03-18,"N","L","Northwestern","B10","UCLA","B10",6,22,0.272727272727273,"2. ROUND OF 32"
